PARK_NAME,ADDRESS
Southland Oaks Neighborhood Park,"3505 Green Emerald Ter., Austin, Texas 78739"
North Oaks Neighbohood Park,"820 Plaza Dr., Austin, Texas 78753"
Schieffer Tract,"3404 Hycreek Dr., Austin, Texas 78723"
Sendera Mesa Neighborhood Park,"4717 Davis Ln., Austin, Texas 78749"
Trailhead Neighborhood Park,"10984 Boulder Ln., Austin, Texas 78726"
Janet Long Fish Park,"13840 Dessau Rd., Austin, Texas 78660"
Brush Square Triangle,"4621 Lake Vw., Austin, Texas 78731"
Decker Tallgrass Prairie Preserve,"8001 Decker Ln., Austin, Texas 78724"
Edward Rendon Sr. Metro Park at Festival Beach,"2101 Jesse E Segovia St., Austin, Texas 78702"
Onion Creek Soccer Complex,"5600 E William Cannon Dr., Austin, Texas 78744"
Williams School Park,"605 Blue Valley Dr., Austin, Texas 78748"
Wunneburger Park,"11901 Old San Antonio Rd., Austin, Texas 78652"
Brentwood Neighborhood Park,"6710 Arroyo Seco, Austin, Texas 78757"
Armadillo Neighborhood Park,"910 Armadillo Rd., Austin, Texas 78745"
Chestnut Pocket Park,"2207 E 16th St., Austin, Texas 78702"
Covert Park at Mount Bonnell,"3800 Mount Bonnell Rd., Austin, Texas 78731"
Palma Plaza Triangle Pocket Park,"1524 Palma Plz., Austin, Texas 78703"
Pease District Park,"1100 Kingsbury St., Austin, Texas  78703"
Steck Valley Greenbelt,"8403 Adirondack Trl., Austin, Texas 78759"
Montopolis Practice Fields,"901 Vasquez St., Austin, Texas 78741"
Morris Williams Golf Course,"3851 Manor Rd., Austin, Texas 78723"
Northwest Recreation Center,"2913 Northland Dr., Austin, Texas 78731"
The Circle ROW Greenbelt,"1300 The Circle, Austin, Texas 78704"
Bauerle Ranch Park,"2715 Lynnbrook Dr., Austin, Texas 78748"
Barton Creek Wilderness Park,"3918 S Mopac Expy Svrd SB, Austin, Texas 78746"
George Washington Carver Museum,"1161 Angelina St., Austin, Texas 78702"
Goat Cave Karst Nature Preserve,"3900 Deer Ln., Austin, Texas 78749"
Northwest Balcones Neighborhood Park,"10225 Talleyran Dr., Austin, Texas 78750"
Scofield Farms Neighborhood Park,"12901 Scofield Farms Dr., Austin, Texas 78727"
Westcreek Pocket Park,"6044 Westcreek Dr., Austin, Texas 78749 "
